File A,File B,Similarity
file_33.java,file_34.java,86.75
file_33.java,file_32.java,59.6
file_3.java,file_2.java,71.85
file_14.java,file_1.java,64.6
file_72.java,file_71.java,76.41
file_72.java,file_73.java,98.86
file_72.java,file_70.java,58.53
file_34.java,file_33.java,86.75
file_34.java,file_32.java,52.16
file_69.java,file_61.java,98.49
file_32.java,file_33.java,59.6
file_32.java,file_34.java,52.16
file_92.java,file_91.java,62.48
file_100.java,file_101.java,86.6
file_71.java,file_72.java,76.41
file_71.java,file_73.java,76.16
file_71.java,file_70.java,74.64
file_91.java,file_92.java,62.48
file_25.java,file_24.java,51.7
file_61.java,file_69.java,98.49
file_94.java,file_93.java,87.66
file_16.java,file_15.java,72.48
file_15.java,file_16.java,72.48
file_73.java,file_72.java,98.86
file_73.java,file_71.java,76.16
file_73.java,file_70.java,58.34
file_93.java,file_94.java,87.66
file_70.java,file_72.java,58.53
file_70.java,file_71.java,74.64
file_70.java,file_73.java,58.34
file_89.java,file_99.java,83.35
file_36.java,file_35.java,71.54
file_99.java,file_89.java,83.35
file_24.java,file_25.java,51.7
file_1.java,file_14.java,64.6
file_101.java,file_100.java,86.6
file_2.java,file_3.java,71.85
file_35.java,file_36.java,71.54
